,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,average_model,optimal_clustering
0,0.4997388693040867,0.5527701614658136,0.5551856204030117,0.5669582626104365,0.5493972233102667,0.5474822648735692,0.546437742089916,0.5364059711885799,0.4967358663010837,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.529442485964225,0.5554902728815773,0.5675240457849153,0.5429559994777386,0.5439787613700657,0.5373852112982548,0.5370587979283632,0.4997388693040867,0.5809287548417983,0.5802541672106889,0.5481133307220264,0.5155155155155156,0.5050267658963311,0.5380815598206903,0.5443922183052617,0.4997388693040867,0.4997388693040867,0.5000217608913261,0.5017408713060887,0.4980850415633024,0.49292771031901467,0.4993689341515428,0.4992166079122601,0.49471210340775557,0.4981068024546285,0.495604299952126,0.5016538277407843,0.49593071332201766,0.49220960090525306,0.5361561239177987,0.5809287548417983
1,0.5039387213300257,0.5497018757888323,0.5101188144666405,0.5429124776950864,0.48417983200591896,0.5234800017408713,0.5264830047438743,0.5125995560778169,0.4757583670627149,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5039387213300257,0.5619314967141054,0.514209862035949,0.5410192801497149,0.48966357662009835,0.5243069156112634,0.5141445793619707,0.5136440788614701,0.5039387213300257,0.5066588327457893,0.5446751098925012,0.5431300866083475,0.5360142751447099,0.5346433389911651,0.5318144231187709,0.5058319188753971,0.5039387213300257,0.5039387213300257,0.49847673760717237,0.49645297471384425,0.5085085085085085,0.497997997997998,0.503394699046873,0.5010227618923271,0.5052226139182661,0.4987813900857379,0.4994559777168473,0.5034164599381991,0.5073551812682248,0.5037211124167645,0.5187635300356718,0.5619314967141054
2,0.5036993515254384,0.5931583757670714,0.6068024546285415,0.6008617312965139,0.5773382077729904,0.5744222483352918,0.572463768115942,0.5347739043391218,0.4869217043130087,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5036993515254384,0.5868912390651521,0.6085868477172826,0.6005570788179484,0.5770117944030988,0.5756408582495539,0.5350132741437089,0.5419332375854115,0.5036993515254384,0.5846281063672368,0.597880489184837,0.599469034251643,0.5993819906863385,0.5551638595116856,0.5448927188057623,0.5433476955216086,0.5036993515254384,0.5036993515254384,0.5018931975453714,0.49895547721634675,0.5086608347477912,0.5043304173738956,0.5078556817687252,0.496996996996997,0.49040344692518606,0.5054619837228533,0.5017843930887409,0.5031335683509597,0.5047656352004178,0.4922531226879053,0.559838421352109,0.6085868477172826
3,0.5012838925882405,0.5642381511946729,0.49040344692518606,0.59087348217783,0.5899377638508073,0.570440005222614,0.5651521086303695,0.565848457152805,0.4793489141315228,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5012838925882405,0.5722896809853332,0.544435740087914,0.5899812856334595,0.5883709796753275,0.5720285502894199,0.5676328502415459,0.5657396526961744,0.5012838925882405,0.5484832658745702,0.5907646777211994,0.5902206554380467,0.5847586717151935,0.5646080863472168,0.5640640640640641,0.5608434521478,0.5012838925882405,0.5012838925882405,0.49843321582452016,0.4945380162771467,0.49714932323627975,0.4979544762153458,0.4988249118683901,0.5085520302911607,0.5011750881316098,0.5029594812203508,0.5013274143708927,0.4993254123688906,0.49416808112460286,0.5032423728075902,0.552847533523862,0.59087348217783
4,0.5118379248814031,0.5806241023632328,0.5852156504330417,0.5889367628498063,0.588283936110023,0.5583627105366236,0.5554902728815773,0.5230447839143492,0.48966357662009835,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5118379248814031,0.5609522566044305,0.585455020237629,0.5903294598946773,0.5856508682595639,0.5625408016712364,0.5247638943291117,0.5216520868694782,0.5118379248814031,0.5835835835835835,0.5746833790312051,0.5874570222396309,0.5782086434260347,0.5547068807938373,0.5723114418766593,0.5270923097010054,0.5118379248814031,0.5118379248814031,0.4951037994516255,0.5017843930887409,0.49786743265004135,0.49488619053836447,0.5042433738085912,0.497997997997998,0.49915132523828176,0.4999347173260217,0.5036558297427862,0.5045262653958306,0.5034164599381991,0.5043957000478739,0.5532666321716241,0.5903294598946773
5,0.4997388693040867,0.5214344779562171,0.5606693650171911,0.5498106802454629,0.5420855638246943,0.5393001697349523,0.5332941637289463,0.536841189015102,0.4807633720677199,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.4997388693040867,0.5442834138486312,0.5605605605605606,0.548657353005179,0.5369935152543848,0.5451103277190233,0.5453932193062628,0.5309222265744005,0.4997388693040867,0.549636593114854,0.5149279714497106,0.5664360012186099,0.556643600121861,0.5400182791487139,0.546437742089916,0.5487008747878314,0.4997388693040867,0.4997388693040867,0.4990207598903251,0.4952561256909083,0.4919484702093398,0.4974539757148453,0.5039387213300257,0.49908604256430344,0.4982373678025852,0.4981068024546285,0.5028289158723941,0.5035252643948296,0.5014144579361971,0.4993036514775645,0.5332450002337281,0.5664360012186099
6,0.4986508247377813,0.5715715715715716,0.5049614832223528,0.5863254558906733,0.5856073464769117,0.5687208948078514,0.5637376506941725,0.5634765199982591,0.48907603255429344,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.4986508247377813,0.5780998389694042,0.49717108412760586,0.586086086086086,0.5843016929973451,0.5692213953083518,0.5648256952604779,0.5634982808895852,0.4986508247377813,0.5345345345345346,0.5864342603473038,0.5862819341080211,0.5817339078208643,0.5625408016712364,0.5617791704748226,0.5590808199503852,0.4986508247377813,0.4986508247377813,0.49845497671584627,0.49360229795012406,0.49586543064803934,0.4970187578883231,0.49658354006180094,0.490599294947121,0.49967358663010836,0.4975410192801497,0.502611306959133,0.4987378683030857,0.4933194063628846,0.49608303956130045,0.5497155770907783,0.5864342603473038
7,0.50559254907081,0.5873917395656526,0.5915480698089394,0.5815162989076033,0.5750315532924228,0.5767506637071854,0.5479827653740698,0.5490708099403752,0.5022848935892414,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.50559254907081,0.5913087000043522,0.5919615267441355,0.5841928885407146,0.5724202463332898,0.5720067893980938,0.5698307002654829,0.5463724594159377,0.50559254907081,0.5097053575314445,0.5879792836314576,0.5826913870392131,0.5495930713322018,0.5490055272663968,0.5488749619184402,0.5501588545066806,0.50559254907081,0.50559254907081,0.4957348653000827,0.5019802411106759,0.48792270531400966,0.4924272098185142,0.49042520781651217,0.5027636331984158,0.5067893980937459,0.5000435217826522,0.5012838925882405,0.4950167558863211,0.49142620881751314,0.49532140836488664,0.5535422701284215,0.5919615267441355
8,0.5048744396570484,0.5756190973582278,0.596270183226705,0.5928102015058537,0.5801888845367106,0.5809069939504722,0.5491578535056796,0.5442834138486312,0.4817643730687209,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5048744396570484,0.5843234538886712,0.5962484223353789,0.5935718327022674,0.5814945380162772,0.5756408582495539,0.5724202463332898,0.548657353005179,0.5048744396570484,0.5254384819602211,0.5728989859424642,0.5951603777690734,0.5600382991687339,0.5545545545545546,0.536036036036036,0.5343604474039256,0.5048744396570484,0.5048744396570484,0.4972363668015842,0.4927318622970797,0.49090394742568655,0.4990207598903251,0.49732341036688865,0.496996996996997,0.5048962005483745,0.5060712886799843,0.5018714366540453,0.5051790921356138,0.5086825956391173,0.49220960090525306,0.5539339661722914,0.596270183226705
9,0.5102493798145972,0.5842581712146929,0.559037298167733,0.5806458632545589,0.5795578186882535,0.5633459546503025,0.5554685119902512,0.5423684554119337,0.47765156460808633,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.5102493798145972,0.575075075075075,0.5602341471906689,0.5796013404709057,0.5775340557949253,0.5656090873482178,0.551442747094921,0.5437393915654786,0.5102493798145972,0.578861470165818,0.5855420638029334,0.5785568176872524,0.5108586847717282,0.5113591852722288,0.5116203159681421,0.49767158462810634,0.5102493798145972,0.5102493798145972,0.5008269138703921,0.502197850023937,0.5037646341994169,0.5045697871784828,0.5018714366540453,0.5020237628933281,0.49586543064803934,0.49538669103886496,0.5008486747617182,0.5024154589371981,0.4945162553858206,0.5071158114636376,0.5452328334776,0.5855420638029334
