,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,average_model,optimal_clustering
0,0.9846938775510204,0.9812925170068028,0.9886621315192744,0.9846938775510204,0.9886621315192744,0.9886621315192744,0.9886621315192744,0.9912131519274376,0.9866780045351474,0.9870244394053918,0.9912131519274376
1,0.9917800453514739,0.9917800453514739,0.9917800453514739,0.9937641723356009,0.9917800453514739,0.9917800453514739,0.9917800453514739,0.9917800453514739,0.9957482993197279,0.9924414210128495,0.9957482993197279
2,0.9892290249433107,0.9892290249433107,0.9892290249433107,0.9912131519274376,0.9912131519274376,0.9872448979591837,0.979875283446712,0.98781179138322,0.9872448979591837,0.9880322499370118,0.9912131519274376
3,0.9920634920634921,0.996031746031746,0.9940476190476191,0.996031746031746,0.9906462585034014,0.9880952380952381,0.9940476190476191,0.9906462585034014,0.996031746031746,0.9930713025951121,0.996031746031746
4,0.9886621315192744,0.9906462585034014,0.9886621315192744,0.9906462585034014,0.9926303854875284,0.9886621315192744,0.9926303854875284,0.9866780045351474,0.9946145124716553,0.9904257999496094,0.9946145124716553
5,0.98781179138322,0.98781179138322,0.985827664399093,0.9897959183673469,0.9897959183673469,0.98781179138322,0.9897959183673469,0.9897959183673469,0.9917800453514739,0.9889140841521793,0.9917800453514739
6,0.9900793650793651,0.9920634920634921,0.9900793650793651,0.9892290249433107,0.9880952380952381,0.9920634920634921,0.9886621315192744,0.9900793650793651,0.9866780045351474,0.9896699420508944,0.9920634920634921
7,0.9903628117913832,0.9903628117913832,0.9863945578231292,0.9923469387755102,0.9903628117913832,0.9883786848072562,0.9923469387755102,0.9883786848072562,0.9903628117913832,0.9899218946837993,0.9923469387755102
8,0.9914965986394558,0.9895124716553289,0.9861111111111112,0.9914965986394558,0.9900793650793651,0.9880952380952381,0.9875283446712018,0.9895124716553289,0.9841269841269841,0.9886621315192744,0.9914965986394558
9,0.9929138321995464,0.9909297052154195,0.9869614512471655,0.9909297052154195,0.9889455782312925,0.9889455782312925,0.9889455782312925,0.9948979591836735,0.9948979591836735,0.9909297052154193,0.9948979591836735
10,0.9946145124716553,0.9946145124716553,0.9926303854875284,0.9965986394557823,0.9926303854875284,0.9965986394557823,0.9926303854875284,0.9926303854875284,0.9926303854875284,0.9939531368102796,0.9965986394557823
