,abilities
kmeans_n_clusters_1,0.51827747
kmeans_n_clusters_2,0.5331618
kmeans_n_clusters_3,0.5315604
kmeans_n_clusters_4,0.531296
kmeans_n_clusters_5,0.5160038
kmeans_n_clusters_6,0.5155075
kmeans_n_clusters_7,0.5063691
kmeans_n_clusters_8,0.5061759
dbscan_eps_0_1_min_samples_2,0.51827747
dbscan_eps_0_2_min_samples_2,0.51827747
dbscan_eps_0_3_min_samples_2,0.51827747
dbscan_eps_0_4_min_samples_2,0.51827747
dbscan_eps_0_5_min_samples_2,0.51827747
dbscan_eps_0_6_min_samples_2,0.51827747
dbscan_eps_0_7_min_samples_2,0.51827747
dbscan_eps_0_8_min_samples_2,0.51827747
dbscan_eps_0_9_min_samples_2,0.51827747
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.51827747
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5106031
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.49481392
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.4993779
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.49223086
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48820797
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48773074
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.49062103
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.51827747
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.534084
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5291544
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5169765
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5117506
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.50558656
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5020933
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49812722
mean_shift_,0.52184224
optics_,0.5186832
random_model_n1,0.49986866
random_model_n2,0.49982125
random_model_n3,0.5004791
random_model_n4,0.49995947
random_model_n5,0.49990383
random_model_n6,0.49992424
random_model_n7,0.50001895
random_model_n8,0.49991572
random_model_n9,0.50002784
random_model_n10,0.49975044
random_model_n11,0.500049
random_model_n12,0.4998116
random_model_n13,0.4997056
random_model_n14,0.49983054
random_model_n15,0.49987426
random_model_n16,0.49974132
random_model_n17,0.49996948
random_model_n18,0.5000387
random_model_n19,0.5001176
random_model_n20,0.49969774
random_model_n21,0.50007886
random_model_n22,0.50008476
random_model_n23,0.5001188
random_model_n24,0.49960667
random_model_n25,0.50044554
random_model_n26,0.49991584
random_model_n27,0.49996233
random_model_n28,0.49995577
random_model_n29,0.49992657
random_model_n30,0.49987456
random_model_n31,0.4997913
random_model_n32,0.50011283
random_model_n33,0.49975806
random_model_n34,0.5003021
random_model_n35,0.50006664
random_model_n36,0.4999037
random_model_n37,0.50024843
random_model_n38,0.49999
random_model_n39,0.49983442
random_model_n40,0.5001821
random_model_n41,0.5003033
random_model_n42,0.49977544
random_model_n43,0.4998528
random_model_n44,0.49985602
random_model_n45,0.49983865
random_model_n46,0.49972883
random_model_n47,0.4999628
random_model_n48,0.4999506
random_model_n49,0.4998113
random_model_n50,0.49981636
random_model_n51,0.49981767
random_model_n52,0.5003595
random_model_n53,0.5000233
random_model_n54,0.4998645
random_model_n55,0.5006114
random_model_n56,0.49998897
random_model_n57,0.49983704
random_model_n58,0.50022626
random_model_n59,0.49991798
random_model_n60,0.50021386
random_model_n61,0.49993265
random_model_n62,0.49983394
random_model_n63,0.4997382
random_model_n64,0.5000835
random_model_n65,0.50007415
random_model_n66,0.50004244
random_model_n67,0.5000354
random_model_n68,0.49984634
random_model_n69,0.5000036
random_model_n70,0.49991393
average_model,0.5177564
optimal_clustering,0.5355584
