,abilities
kmeans_n_clusters_1,0.52013767
kmeans_n_clusters_2,0.53737915
kmeans_n_clusters_3,0.5349597
kmeans_n_clusters_4,0.5334213
kmeans_n_clusters_5,0.5145672
kmeans_n_clusters_6,0.512892
kmeans_n_clusters_7,0.499144
kmeans_n_clusters_8,0.5018091
dbscan_eps_0_1_min_samples_2,0.52013767
dbscan_eps_0_2_min_samples_2,0.52013767
dbscan_eps_0_3_min_samples_2,0.52013767
dbscan_eps_0_4_min_samples_2,0.52013767
dbscan_eps_0_5_min_samples_2,0.52013767
dbscan_eps_0_6_min_samples_2,0.52013767
dbscan_eps_0_7_min_samples_2,0.52013767
dbscan_eps_0_8_min_samples_2,0.52013767
dbscan_eps_0_9_min_samples_2,0.52013767
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.52013767
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5090933
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.4887114
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.49430507
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.4853167
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48016733
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.47927213
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.483162
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.52013767
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.53808534
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5316827
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51445997
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5070535
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5005882
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49648213
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4915213
mean_shift_,0.5246225
optics_,0.5206468
random_model_n1,0.49514407
random_model_n2,0.49519938
random_model_n3,0.49593568
random_model_n4,0.49523374
random_model_n5,0.4953188
random_model_n6,0.49521995
random_model_n7,0.4953518
random_model_n8,0.49529573
random_model_n9,0.49523982
random_model_n10,0.49504298
random_model_n11,0.49525818
random_model_n12,0.4951257
random_model_n13,0.4949468
random_model_n14,0.49522826
random_model_n15,0.49524254
random_model_n16,0.49502403
random_model_n17,0.49525154
random_model_n18,0.49530703
random_model_n19,0.4954958
random_model_n20,0.49509367
random_model_n21,0.49541017
random_model_n22,0.49539015
random_model_n23,0.49530277
random_model_n24,0.49497274
random_model_n25,0.49576047
random_model_n26,0.49519446
random_model_n27,0.49515945
random_model_n28,0.4951144
random_model_n29,0.4951893
random_model_n30,0.49526164
random_model_n31,0.4951512
random_model_n32,0.49548948
random_model_n33,0.4951116
random_model_n34,0.49580172
random_model_n35,0.4953582
random_model_n36,0.4952524
random_model_n37,0.495672
random_model_n38,0.49529675
random_model_n39,0.49512595
random_model_n40,0.49534202
random_model_n41,0.49563146
random_model_n42,0.49510503
random_model_n43,0.49523118
average_model,0.5120024
optimal_clustering,0.5394995
