,abilities
kmeans_n_clusters_1,0.44525144
kmeans_n_clusters_2,0.50872505
kmeans_n_clusters_3,0.51194733
kmeans_n_clusters_4,0.51236725
kmeans_n_clusters_5,0.51222885
kmeans_n_clusters_6,0.5134778
kmeans_n_clusters_7,0.51002675
kmeans_n_clusters_8,0.50660187
dbscan_eps_0_1_min_samples_2,0.4994595
dbscan_eps_0_2_min_samples_2,0.5165274
dbscan_eps_0_3_min_samples_2,0.5164312
dbscan_eps_0_4_min_samples_2,0.5164312
dbscan_eps_0_5_min_samples_2,0.5164312
dbscan_eps_0_6_min_samples_2,0.44525144
dbscan_eps_0_7_min_samples_2,0.44525144
dbscan_eps_0_8_min_samples_2,0.44525144
dbscan_eps_0_9_min_samples_2,0.44525144
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.44525144
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5112641
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.51142496
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5122004
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5119608
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.51271355
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5103547
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.508022
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.44525144
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5164312
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.516085
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51444507
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.51481223
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51507884
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5120642
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5074337
mean_shift_,0.51032263
optics_,0.48304912
random_model_n1,0.46687794
random_model_n2,0.46710333
random_model_n3,0.467043
random_model_n4,0.46696448
random_model_n5,0.46727517
random_model_n6,0.46693012
random_model_n7,0.46690065
random_model_n8,0.46685132
random_model_n9,0.46678635
random_model_n10,0.46696523
random_model_n11,0.46703696
random_model_n12,0.46707428
random_model_n13,0.46694857
random_model_n14,0.46692035
random_model_n15,0.4669614
random_model_n16,0.46748292
random_model_n17,0.46692592
random_model_n18,0.4672212
random_model_n19,0.46674633
random_model_n20,0.46714854
random_model_n21,0.4668889
random_model_n22,0.46696585
random_model_n23,0.46715385
random_model_n24,0.4670477
random_model_n25,0.46700874
random_model_n26,0.46705377
average_model,0.49574277
optimal_clustering,0.52128536
