,abilities
kmeans_n_clusters_1,0.3786399
kmeans_n_clusters_2,0.48856822
kmeans_n_clusters_3,0.5145639
kmeans_n_clusters_4,0.51346827
kmeans_n_clusters_5,0.4992264
kmeans_n_clusters_6,0.49609455
kmeans_n_clusters_7,0.49357963
kmeans_n_clusters_8,0.49188152
dbscan_eps_0_1_min_samples_2,0.48435968
dbscan_eps_0_2_min_samples_2,0.50311977
dbscan_eps_0_3_min_samples_2,0.38372126
dbscan_eps_0_4_min_samples_2,0.38089514
dbscan_eps_0_5_min_samples_2,0.3798394
dbscan_eps_0_6_min_samples_2,0.3798394
dbscan_eps_0_7_min_samples_2,0.3786399
dbscan_eps_0_8_min_samples_2,0.3786399
dbscan_eps_0_9_min_samples_2,0.3786399
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.3786399
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.48616388
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5135037
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49137786
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.46824116
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.47181273
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4638819
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4523362
mean_shift_,0.5144105
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.3786399
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.4894371
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.51387084
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5139859
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.49816212
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.50901175
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.49159443
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.49714527
optics_min_samples_2,0.40182632
average_model,0.4558058
optimal_clustering,0.5175784
