,abilities
kmeans_n_clusters_1,0.51822287
kmeans_n_clusters_2,0.53288525
kmeans_n_clusters_3,0.531194
kmeans_n_clusters_4,0.530589
kmeans_n_clusters_5,0.5153612
kmeans_n_clusters_6,0.51544464
kmeans_n_clusters_7,0.50768614
kmeans_n_clusters_8,0.5043429
dbscan_eps_0_1_min_samples_2,0.51822287
dbscan_eps_0_2_min_samples_2,0.51822287
dbscan_eps_0_3_min_samples_2,0.51822287
dbscan_eps_0_4_min_samples_2,0.51822287
dbscan_eps_0_5_min_samples_2,0.51822287
dbscan_eps_0_6_min_samples_2,0.51822287
dbscan_eps_0_7_min_samples_2,0.51822287
dbscan_eps_0_8_min_samples_2,0.51822287
dbscan_eps_0_9_min_samples_2,0.51822287
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.51822287
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5104067
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.49443722
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.49881473
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.49159715
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48749018
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48698795
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.48982525
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.51822287
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5336181
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5286691
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51660806
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.51071
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5048761
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.501245
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49672875
mean_shift_,0.5218051
optics_,0.518645
random_model_n1,0.49921653
random_model_n2,0.4992405
random_model_n3,0.49990347
random_model_n4,0.4993715
random_model_n5,0.49935508
random_model_n6,0.49934426
random_model_n7,0.49946046
random_model_n8,0.49934855
random_model_n9,0.4994093
random_model_n10,0.4991788
random_model_n11,0.4994588
random_model_n12,0.49921492
random_model_n13,0.49913436
random_model_n14,0.49926436
random_model_n15,0.49931833
random_model_n16,0.49914673
random_model_n17,0.49937397
random_model_n18,0.49945712
random_model_n19,0.4995513
random_model_n20,0.49909958
random_model_n21,0.49948698
random_model_n22,0.4994903
random_model_n23,0.4995667
random_model_n24,0.49903443
random_model_n25,0.4998825
random_model_n26,0.49933022
random_model_n27,0.49935567
random_model_n28,0.49936458
random_model_n29,0.499338
random_model_n30,0.49928322
random_model_n31,0.499221
random_model_n32,0.4995022
random_model_n33,0.49917603
random_model_n34,0.49976385
random_model_n35,0.49946532
random_model_n36,0.49934474
random_model_n37,0.49967214
random_model_n38,0.49943244
random_model_n39,0.4992415
random_model_n40,0.4995764
random_model_n41,0.49972263
random_model_n42,0.49919552
random_model_n43,0.4992469
random_model_n44,0.49927732
random_model_n45,0.499275
random_model_n46,0.4991408
random_model_n47,0.4993602
random_model_n48,0.49938345
random_model_n49,0.49923313
random_model_n50,0.49922425
random_model_n51,0.4992427
random_model_n52,0.4997727
random_model_n53,0.49941108
random_model_n54,0.49928957
random_model_n55,0.50004745
random_model_n56,0.49939674
random_model_n57,0.49924463
random_model_n58,0.4996555
random_model_n59,0.49933386
random_model_n60,0.49963465
random_model_n61,0.4993643
random_model_n62,0.49924642
random_model_n63,0.49915954
random_model_n64,0.499516
random_model_n65,0.499488
random_model_n66,0.49943405
random_model_n67,0.49945796
random_model_n68,0.49929574
average_model,0.5174377
optimal_clustering,0.5350408
