models,abilities,model_droped
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.52298605,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.52168775,kmeans_n_clusters_1
kmeans_n_clusters_4,0.51862,kmeans_n_clusters_1
kmeans_n_clusters_3,0.518239,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51638407,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5109928,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.51029104,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.5099558,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.5099558,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.5095343,kmeans_n_clusters_1
kmeans_n_clusters_2,0.506689,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.506689,kmeans_n_clusters_1
mean_shift_,0.506689,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.506689,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.5058752,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.505746,kmeans_n_clusters_1
kmeans_n_clusters_5,0.50522864,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5033969,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.49648213,kmeans_n_clusters_1
kmeans_n_clusters_7,0.4963368,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.49628264,kmeans_n_clusters_1
kmeans_n_clusters_6,0.49613735,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.49300092,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.48929933,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.48624414,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4832994,kmeans_n_clusters_1
kmeans_n_clusters_8,0.4828224,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.46950805,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.44118792,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.3926158,kmeans_n_clusters_1
optics_,0.3857758,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.31560853,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.31296372,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.31296372,kmeans_n_clusters_1
