models,abilities,model_droped
kmeans_n_clusters_3,0.5152077,kmeans_n_clusters_1
mean_shift_,0.5150811,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.5144762,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51406145,kmeans_n_clusters_1
kmeans_n_clusters_4,0.51396996,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.51366335,kmeans_n_clusters_1
kmeans_n_clusters_5,0.51167107,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.50839424,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.5026989,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.49573272,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.49509728,kmeans_n_clusters_1
kmeans_n_clusters_6,0.49091205,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48874575,kmeans_n_clusters_1
kmeans_n_clusters_2,0.48778182,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.48709416,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.48693454,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.4853042,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.4823947,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46810338,kmeans_n_clusters_1
kmeans_n_clusters_7,0.46539038,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4644472,kmeans_n_clusters_1
kmeans_n_clusters_8,0.4625095,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.45927814,kmeans_n_clusters_1
optics_min_samples_7_xi_0_01_min_cluster_size_0_2,0.4585384,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.44730482,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.37960666,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.37689725,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.3759207,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.3759207,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.37474164,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.37474164,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.37474164,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.37474164,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.37474164,kmeans_n_clusters_1
kmeans_n_clusters_3,0.5175561,kmeans_n_clusters_2
mean_shift_,0.5174472,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.5168649,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5164691,kmeans_n_clusters_2
kmeans_n_clusters_4,0.516345,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.5160415,kmeans_n_clusters_2
kmeans_n_clusters_5,0.51410216,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.5109055,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.50545347,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.4986825,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4980363,kmeans_n_clusters_2
kmeans_n_clusters_6,0.493936,kmeans_n_clusters_2
