models,abilities,model_droped
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.50392884,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.5029472,kmeans_n_clusters_1
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.50129807,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.49784106,kmeans_n_clusters_1
kmeans_n_clusters_3,0.4962641,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49323905,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.49310374,kmeans_n_clusters_1
mean_shift_,0.49179956,kmeans_n_clusters_1
kmeans_n_clusters_2,0.49072078,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4878647,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.48728433,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.48271358,kmeans_n_clusters_1
kmeans_n_clusters_4,0.4818196,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.48128712,kmeans_n_clusters_1
kmeans_n_clusters_5,0.48085117,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48024532,kmeans_n_clusters_1
kmeans_n_clusters_6,0.48013067,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.4769415,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.476127,kmeans_n_clusters_1
kmeans_n_clusters_7,0.47608167,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47589162,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4744592,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.471043,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47054997,kmeans_n_clusters_1
kmeans_n_clusters_8,0.46864334,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.39477518,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.39477518,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.39477518,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.39438874,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.39438874,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.39438874,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.39438874,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.39438874,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.39438874,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5074139,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.50642836,kmeans_n_clusters_2
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.5048194,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.50149226,kmeans_n_clusters_2
kmeans_n_clusters_3,0.49994478,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.496816,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4966692,kmeans_n_clusters_2
mean_shift_,0.49531767,kmeans_n_clusters_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.49175903,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4911746,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.48673302,kmeans_n_clusters_2
kmeans_n_clusters_4,0.48567837,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.48529002,kmeans_n_clusters_2
kmeans_n_clusters_5,0.48490557,kmeans_n_clusters_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48430258,kmeans_n_clusters_2
kmeans_n_clusters_6,0.48414415,kmeans_n_clusters_2
dbscan_eps_np_float640_1_min_samples_2,0.48086622,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4802149,kmeans_n_clusters_2
kmeans_n_clusters_7,0.48017886,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47984552,kmeans_n_clusters_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4786681,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.475348,kmeans_n_clusters_2
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47469458,kmeans_n_clusters_2
kmeans_n_clusters_8,0.4729307,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.40030497,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.40030497,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.40030497,kmeans_n_clusters_2
kmeans_n_clusters_1,0.39991775,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.39991775,kmeans_n_clusters_2
dbscan_eps_np_float640_7_min_samples_2,0.39991775,kmeans_n_clusters_2
dbscan_eps_np_float640_6_min_samples_2,0.39991775,kmeans_n_clusters_2
dbscan_eps_np_float640_9_min_samples_2,0.39991775,kmeans_n_clusters_2
dbscan_eps_np_float640_8_min_samples_2,0.39991775,kmeans_n_clusters_2
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.39991775,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5073789,kmeans_n_clusters_3
dbscan_eps_np_float640_2_min_samples_2,0.5064232,kmeans_n_clusters_3
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.50482124,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.50117576,kmeans_n_clusters_3
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49693435,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.49681818,kmeans_n_clusters_3
mean_shift_,0.4955547,kmeans_n_clusters_3
kmeans_n_clusters_2,0.49451,kmeans_n_clusters_3
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.49171963,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4910294,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4864242,kmeans_n_clusters_3
kmeans_n_clusters_4,0.4857114,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.485294,kmeans_n_clusters_3
kmeans_n_clusters_5,0.48481745,kmeans_n_clusters_3
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48428,kmeans_n_clusters_3
kmeans_n_clusters_6,0.48417732,kmeans_n_clusters_3
dbscan_eps_np_float640_1_min_samples_2,0.48096263,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.48023272,kmeans_n_clusters_3
kmeans_n_clusters_7,0.48019755,kmeans_n_clusters_3
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47994837,kmeans_n_clusters_3
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.47866973,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.47528943,kmeans_n_clusters_3
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47481695,kmeans_n_clusters_3
kmeans_n_clusters_8,0.47298765,kmeans_n_clusters_3
dbscan_eps_np_float640_4_min_samples_2,0.40049714,kmeans_n_clusters_3
dbscan_eps_np_float640_3_min_samples_2,0.40049714,kmeans_n_clusters_3
dbscan_eps_np_float640_5_min_samples_2,0.40049714,kmeans_n_clusters_3
kmeans_n_clusters_1,0.4001153,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.4001153,kmeans_n_clusters_3
dbscan_eps_np_float640_7_min_samples_2,0.4001153,kmeans_n_clusters_3
dbscan_eps_np_float640_6_min_samples_2,0.4001153,kmeans_n_clusters_3
dbscan_eps_np_float640_9_min_samples_2,0.4001153,kmeans_n_clusters_3
dbscan_eps_np_float640_8_min_samples_2,0.4001153,kmeans_n_clusters_3
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.4001153,kmeans_n_clusters_3
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.50525784,kmeans_n_clusters_4
dbscan_eps_np_float640_2_min_samples_2,0.5043167,kmeans_n_clusters_4
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.50274813,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.49945247,kmeans_n_clusters_4
kmeans_n_clusters_3,0.4979354,kmeans_n_clusters_4
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49503905,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.49490386,kmeans_n_clusters_4
mean_shift_,0.49364376,kmeans_n_clusters_4
kmeans_n_clusters_2,0.49260277,kmeans_n_clusters_4
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.48987997,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.48926422,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.48492873,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.483577,kmeans_n_clusters_4
kmeans_n_clusters_5,0.48316976,kmeans_n_clusters_4
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48262113,kmeans_n_clusters_4
kmeans_n_clusters_6,0.48245627,kmeans_n_clusters_4
dbscan_eps_np_float640_1_min_samples_2,0.47933877,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4786305,kmeans_n_clusters_4
kmeans_n_clusters_7,0.478588,kmeans_n_clusters_4
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47811162,kmeans_n_clusters_4
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4770717,kmeans_n_clusters_4
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.47377554,kmeans_n_clusters_4
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47328717,kmeans_n_clusters_4
kmeans_n_clusters_8,0.4714574,kmeans_n_clusters_4
dbscan_eps_np_float640_4_min_samples_2,0.4001482,kmeans_n_clusters_4
dbscan_eps_np_float640_3_min_samples_2,0.4001482,kmeans_n_clusters_4
