models,abilities,model_droped
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.44273296,kmeans_n_clusters_2
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4403938,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4347611,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.4288766,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.42376116,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.42109302,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.55237913,kmeans_n_clusters_3
kmeans_n_clusters_2,0.5514789,kmeans_n_clusters_3
kmeans_n_clusters_5,0.54652596,kmeans_n_clusters_3
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53705156,kmeans_n_clusters_3
mean_shift_,0.5298585,kmeans_n_clusters_3
optics_,0.521955,kmeans_n_clusters_3
kmeans_n_clusters_1,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_3_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_2_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_1_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_8_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_9_min_samples_2,0.52044487,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.52044487,kmeans_n_clusters_3
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_7_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_6_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_5_min_samples_2,0.52044487,kmeans_n_clusters_3
dbscan_eps_np_float640_4_min_samples_2,0.52044487,kmeans_n_clusters_3
kmeans_n_clusters_4,0.507131,kmeans_n_clusters_3
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.4911494,kmeans_n_clusters_3
