models,abilities,model_droped
kmeans_n_clusters_3,0.52873814,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.52873814,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.52873814,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.52873814,kmeans_n_clusters_1
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.5287381,kmeans_n_clusters_1
mean_shift_,0.5287381,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.52800417,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.51574516,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.501059,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.4958218,kmeans_n_clusters_1
kmeans_n_clusters_4,0.4955933,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.47451657,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.4615631,kmeans_n_clusters_1
kmeans_n_clusters_6,0.45798075,kmeans_n_clusters_1
kmeans_n_clusters_5,0.4574156,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.4534982,kmeans_n_clusters_1
kmeans_n_clusters_2,0.45275125,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.45275125,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.45275125,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.45275125,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.45275125,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.45275125,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.45275125,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4391674,kmeans_n_clusters_1
kmeans_n_clusters_8,0.43833247,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.42716742,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.42582262,kmeans_n_clusters_1
kmeans_n_clusters_7,0.42159405,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.41635448,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.41546398,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.37771046,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.35999927,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.20888308,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.20888308,kmeans_n_clusters_1
kmeans_n_clusters_3,0.5167725,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.5167725,kmeans_n_clusters_2
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.5167725,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.5167725,kmeans_n_clusters_2
mean_shift_,0.5167725,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.5167725,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.5161082,kmeans_n_clusters_2
dbscan_eps_np_float640_1_min_samples_2,0.5049716,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.49179476,kmeans_n_clusters_2
kmeans_n_clusters_4,0.48717666,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.48705694,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.46810493,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.45634183,kmeans_n_clusters_2
kmeans_n_clusters_6,0.45337743,kmeans_n_clusters_2
kmeans_n_clusters_5,0.45247203,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.44938737,kmeans_n_clusters_2
dbscan_eps_np_float640_7_min_samples_2,0.44852638,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.44852638,kmeans_n_clusters_2
dbscan_eps_np_float640_8_min_samples_2,0.44852638,kmeans_n_clusters_2
dbscan_eps_np_float640_6_min_samples_2,0.44852638,kmeans_n_clusters_2
dbscan_eps_np_float640_9_min_samples_2,0.44852638,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.44852638,kmeans_n_clusters_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4362658,kmeans_n_clusters_2
kmeans_n_clusters_8,0.43568075,kmeans_n_clusters_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4255661,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.42419055,kmeans_n_clusters_2
kmeans_n_clusters_7,0.42041507,kmeans_n_clusters_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4158114,kmeans_n_clusters_2
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.41502827,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.3805892,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.3651839,kmeans_n_clusters_2
kmeans_n_clusters_1,0.22549504,kmeans_n_clusters_2
