models,abilities,model_droped
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4950915,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49425274,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.4923008,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49165666,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4906054,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4891279,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.48765692,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.48547062,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.48547062,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.48547062,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.48547062,kmeans_n_clusters_1
optics_min_samples_7_xi_0_08_min_cluster_size_0_1,0.48547062,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.48543683,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.48387793,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.48232353,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.48177847,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.48174357,kmeans_n_clusters_1
kmeans_n_clusters_4,0.4813947,kmeans_n_clusters_1
kmeans_n_clusters_5,0.47745132,kmeans_n_clusters_1
kmeans_n_clusters_8,0.4774088,kmeans_n_clusters_1
kmeans_n_clusters_7,0.47700247,kmeans_n_clusters_1
kmeans_n_clusters_3,0.4755562,kmeans_n_clusters_1
kmeans_n_clusters_6,0.4752452,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.47255898,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.46328485,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.46300298,kmeans_n_clusters_1
mean_shift_,0.462404,kmeans_n_clusters_1
kmeans_n_clusters_2,0.45898426,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.39118782,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.39118782,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.39118782,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.39118782,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.39118782,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.39118782,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4952544,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49450427,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.49271178,kmeans_n_clusters_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49206707,kmeans_n_clusters_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49103278,kmeans_n_clusters_2
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.489678,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.48822647,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.48624548,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.48624548,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.48624548,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.48624548,kmeans_n_clusters_2
optics_min_samples_7_xi_0_08_min_cluster_size_0_1,0.48624548,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.4862144,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.48466197,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.48333338,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4828533,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.48274463,kmeans_n_clusters_2
kmeans_n_clusters_4,0.48250794,kmeans_n_clusters_2
kmeans_n_clusters_5,0.47872815,kmeans_n_clusters_2
kmeans_n_clusters_8,0.47866288,kmeans_n_clusters_2
kmeans_n_clusters_7,0.47831908,kmeans_n_clusters_2
kmeans_n_clusters_3,0.47693086,kmeans_n_clusters_2
kmeans_n_clusters_6,0.47662273,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.47414848,kmeans_n_clusters_2
dbscan_eps_np_float640_1_min_samples_2,0.46538776,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.46506202,kmeans_n_clusters_2
mean_shift_,0.46435398,kmeans_n_clusters_2
kmeans_n_clusters_1,0.39717165,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.39717165,kmeans_n_clusters_2
dbscan_eps_np_float640_7_min_samples_2,0.39717165,kmeans_n_clusters_2
dbscan_eps_np_float640_6_min_samples_2,0.39717165,kmeans_n_clusters_2
dbscan_eps_np_float640_9_min_samples_2,0.39717165,kmeans_n_clusters_2
dbscan_eps_np_float640_8_min_samples_2,0.39717165,kmeans_n_clusters_2
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.39717165,kmeans_n_clusters_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.49754545,kmeans_n_clusters_3
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.49673763,kmeans_n_clusters_3
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.49485165,kmeans_n_clusters_3
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49420735,kmeans_n_clusters_3
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4931945,kmeans_n_clusters_3
