models,abilities,model_droped
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.55036014,kmeans_n_clusters_1
kmeans_n_clusters_3,0.55005413,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.54342896,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5419684,kmeans_n_clusters_1
kmeans_n_clusters_2,0.5351488,kmeans_n_clusters_1
kmeans_n_clusters_4,0.5318393,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.52498627,kmeans_n_clusters_1
kmeans_n_clusters_5,0.52038264,kmeans_n_clusters_1
kmeans_n_clusters_7,0.5133646,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51037824,kmeans_n_clusters_1
kmeans_n_clusters_6,0.50918216,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.50581217,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.50581217,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.50581217,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.50581217,kmeans_n_clusters_1
mean_shift_,0.5038281,kmeans_n_clusters_1
optics_,0.5017462,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49637932,kmeans_n_clusters_1
kmeans_n_clusters_8,0.49306512,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49126112,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4859233,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.46797216,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.46724162,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4656055,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.45506507,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.4448023,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.44075316,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5509433,kmeans_n_clusters_2
kmeans_n_clusters_3,0.55066407,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5438009,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.54216427,kmeans_n_clusters_2
kmeans_n_clusters_4,0.53189117,kmeans_n_clusters_2
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.52561927,kmeans_n_clusters_2
kmeans_n_clusters_5,0.52175814,kmeans_n_clusters_2
kmeans_n_clusters_7,0.51357263,kmeans_n_clusters_2
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51145566,kmeans_n_clusters_2
kmeans_n_clusters_6,0.5093427,kmeans_n_clusters_2
kmeans_n_clusters_1,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_8_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_6_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_1_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_2_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_7_min_samples_2,0.5068919,kmeans_n_clusters_2
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5068919,kmeans_n_clusters_2
dbscan_eps_np_float640_9_min_samples_2,0.5068919,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.5068919,kmeans_n_clusters_2
mean_shift_,0.5048856,kmeans_n_clusters_2
optics_,0.5027247,kmeans_n_clusters_2
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49780005,kmeans_n_clusters_2
kmeans_n_clusters_8,0.49340898,kmeans_n_clusters_2
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49283293,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.48693195,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.46918273,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4681684,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.46634504,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.4559428,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.4459344,kmeans_n_clusters_2
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.44185346,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5533627,kmeans_n_clusters_3
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5464501,kmeans_n_clusters_3
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5448741,kmeans_n_clusters_3
kmeans_n_clusters_2,0.53804725,kmeans_n_clusters_3
kmeans_n_clusters_4,0.5344708,kmeans_n_clusters_3
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5274138,kmeans_n_clusters_3
kmeans_n_clusters_5,0.5225441,kmeans_n_clusters_3
kmeans_n_clusters_7,0.5156096,kmeans_n_clusters_3
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51254076,kmeans_n_clusters_3
kmeans_n_clusters_6,0.51112556,kmeans_n_clusters_3
kmeans_n_clusters_1,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_8_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_6_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_5_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_1_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_2_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_3_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_4_min_samples_2,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_7_min_samples_2,0.50794435,kmeans_n_clusters_3
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.50794435,kmeans_n_clusters_3
dbscan_eps_np_float640_9_min_samples_2,0.50794435,kmeans_n_clusters_3
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.50794435,kmeans_n_clusters_3
mean_shift_,0.5058131,kmeans_n_clusters_3
optics_,0.5039383,kmeans_n_clusters_3
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49796084,kmeans_n_clusters_3
kmeans_n_clusters_8,0.4947433,kmeans_n_clusters_3
