models,abilities,model_droped
dbscan_eps_np_float640_2_min_samples_2,0.47942296,kmeans_n_clusters_1
dbscan_eps_np_float640_3_min_samples_2,0.47926074,kmeans_n_clusters_1
optics_min_samples_7_xi_0_1_min_cluster_size_0_1,0.47926074,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.47926074,kmeans_n_clusters_1
dbscan_eps_np_float640_5_min_samples_2,0.47926074,kmeans_n_clusters_1
dbscan_eps_np_float640_4_min_samples_2,0.47926074,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.47678939,kmeans_n_clusters_1
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.46877682,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.467243,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4672352,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.46627223,kmeans_n_clusters_1
mean_shift_,0.46483353,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.4645642,kmeans_n_clusters_1
kmeans_n_clusters_6,0.46375868,kmeans_n_clusters_1
kmeans_n_clusters_3,0.46367562,kmeans_n_clusters_1
kmeans_n_clusters_4,0.4625471,kmeans_n_clusters_1
kmeans_n_clusters_5,0.46167907,kmeans_n_clusters_1
kmeans_n_clusters_2,0.46156245,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.46141562,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.4604621,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4599845,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.4598858,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.45681933,kmeans_n_clusters_1
kmeans_n_clusters_7,0.45480984,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.45113903,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.45107526,kmeans_n_clusters_1
kmeans_n_clusters_8,0.44925714,kmeans_n_clusters_1
dbscan_eps_np_float640_1_min_samples_2,0.43521,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int641_kernel_gak_random_state_0,0.34680676,kmeans_n_clusters_1
dbscan_eps_np_float640_7_min_samples_2,0.34680676,kmeans_n_clusters_1
dbscan_eps_np_float640_6_min_samples_2,0.34680676,kmeans_n_clusters_1
dbscan_eps_np_float640_9_min_samples_2,0.34680676,kmeans_n_clusters_1
dbscan_eps_np_float640_8_min_samples_2,0.34680676,kmeans_n_clusters_1
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.34680676,kmeans_n_clusters_1
dbscan_eps_np_float640_2_min_samples_2,0.48283517,kmeans_n_clusters_2
dbscan_eps_np_float640_3_min_samples_2,0.4826811,kmeans_n_clusters_2
optics_min_samples_7_xi_0_1_min_cluster_size_0_1,0.4826811,kmeans_n_clusters_2
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.4826811,kmeans_n_clusters_2
dbscan_eps_np_float640_5_min_samples_2,0.4826811,kmeans_n_clusters_2
dbscan_eps_np_float640_4_min_samples_2,0.4826811,kmeans_n_clusters_2
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.48040608,kmeans_n_clusters_2
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47283044,kmeans_n_clusters_2
