models,abilities,model_droped
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51189977,kmeans_n_clusters_1
kmeans_n_clusters_4,0.5118403,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int644_kernel_gak_random_state_0,0.5113962,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int643_kernel_gak_random_state_0,0.5069749,kmeans_n_clusters_1
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5051244,kmeans_n_clusters_1
kmeans_n_clusters_3,0.5038351,kmeans_n_clusters_1
kmeans_n_clusters_2,0.5037594,kmeans_n_clusters_1
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.50352204,kmeans_n_clusters_1
kmeans_n_clusters_5,0.5029743,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int645_kernel_gak_random_state_0,0.50036037,kmeans_n_clusters_1
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49990088,kmeans_n_clusters_1
kmeans_n_clusters_6,0.49350777,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int642_kernel_gak_random_state_0,0.4914359,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int646_kernel_gak_random_state_0,0.4911556,kmeans_n_clusters_1
kmeans_n_clusters_7,0.4851824,kmeans_n_clusters_1
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4838778,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int647_kernel_gak_random_state_0,0.48326835,kmeans_n_clusters_1
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.48207667,kmeans_n_clusters_1
kmeans_n_clusters_8,0.47960982,kmeans_n_clusters_1
kernel_kmeans_n_clusters_np_int648_kernel_gak_random_state_0,0.47902167,kmeans_n_clusters_1
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47666234,kmeans_n_clusters_1
mean_shift_,0.44992986,kmeans_n_clusters_1
