,abilities
kmeans_n_clusters_1,0.5198653
kmeans_n_clusters_2,0.5365129
kmeans_n_clusters_3,0.53430283
kmeans_n_clusters_4,0.5340982
kmeans_n_clusters_5,0.51388
kmeans_n_clusters_6,0.51542854
kmeans_n_clusters_7,0.5005783
kmeans_n_clusters_8,0.502265
dbscan_eps_0_1_min_samples_2,0.5198653
dbscan_eps_0_2_min_samples_2,0.5198653
dbscan_eps_0_3_min_samples_2,0.5198653
dbscan_eps_0_4_min_samples_2,0.5198653
dbscan_eps_0_5_min_samples_2,0.5198653
dbscan_eps_0_6_min_samples_2,0.5198653
dbscan_eps_0_7_min_samples_2,0.5198653
dbscan_eps_0_8_min_samples_2,0.5198653
dbscan_eps_0_9_min_samples_2,0.5198653
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.5198653
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.50940484
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.49009493
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.49542165
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.48690423
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48202777
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48120037
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.4848923
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5198653
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5371814
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5312118
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51460737
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.50768465
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5012882
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49748388
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49297968
mean_shift_,0.5240907
optics_,0.5203637
random_model_n1,0.4962456
random_model_n2,0.49629274
random_model_n3,0.49702552
random_model_n4,0.49635482
random_model_n5,0.49643555
random_model_n6,0.4963419
random_model_n7,0.49645406
random_model_n8,0.4963939
random_model_n9,0.49640575
random_model_n10,0.4961327
random_model_n11,0.49640694
random_model_n12,0.49623784
random_model_n13,0.49608707
random_model_n14,0.4963224
random_model_n15,0.49633387
random_model_n16,0.49614874
random_model_n17,0.49640894
random_model_n18,0.4964274
random_model_n19,0.49664664
random_model_n20,0.49618906
random_model_n21,0.49651754
random_model_n22,0.49647143
random_model_n23,0.49641773
random_model_n24,0.4961158
random_model_n25,0.49689704
random_model_n26,0.49630895
random_model_n27,0.4963608
random_model_n28,0.49625486
random_model_n29,0.49645007
random_model_n30,0.49635166
random_model_n31,0.49627537
random_model_n32,0.4966408
random_model_n33,0.49627984
random_model_n34,0.49689853
random_model_n35,0.49649066
random_model_n36,0.49641293
random_model_n37,0.49674827
random_model_n38,0.4964611
random_model_n39,0.4962356
random_model_n40,0.49660307
random_model_n41,0.49671432
random_model_n42,0.49625662
random_model_n43,0.49634385
random_model_n44,0.49634254
random_model_n45,0.49637544
random_model_n46,0.49617496
random_model_n47,0.49638444
random_model_n48,0.49642837
average_model,0.512332
optimal_clustering,0.53861403
