,abilities
kmeans_n_clusters_1,0.43626383
kmeans_n_clusters_2,0.49175233
kmeans_n_clusters_3,0.4998803
kmeans_n_clusters_4,0.5077209
kmeans_n_clusters_5,0.50199044
kmeans_n_clusters_6,0.49454224
kmeans_n_clusters_7,0.4896159
kmeans_n_clusters_8,0.48411044
dbscan_eps_0_1_min_samples_2,0.44873065
dbscan_eps_0_2_min_samples_2,0.43626383
dbscan_eps_0_3_min_samples_2,0.43626383
dbscan_eps_0_4_min_samples_2,0.43626383
dbscan_eps_0_5_min_samples_2,0.43626383
dbscan_eps_0_6_min_samples_2,0.43626383
dbscan_eps_0_7_min_samples_2,0.43626383
dbscan_eps_0_8_min_samples_2,0.43626383
dbscan_eps_0_9_min_samples_2,0.43626383
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.43626383
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.48328218
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5012942
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.50701475
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4985058
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48440072
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.48456237
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4822581
mean_shift_,0.43626383
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.43626383
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49061894
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5008702
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5077043
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5003857
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.49422467
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48829433
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.48428863
optics_min_samples_2,0.4438838
average_model,0.47097734
optimal_clustering,0.5112482
