,random_model_n1,random_model_n2,random_model_n3,average_model,optimal_clustering
0,0.9920634920634921,0.9909297052154195,0.9852607709750567,0.9894179894179894,0.9920634920634921
1,0.981859410430839,0.9841269841269841,0.9795918367346939,0.981859410430839,0.9841269841269841
2,0.9943310657596371,0.9931972789115646,0.9897959183673469,0.9924414210128495,0.9943310657596371
3,0.981859410430839,0.9841269841269841,0.9841269841269841,0.983371126228269,0.9841269841269841
4,0.9909297052154195,0.9897959183673469,0.9920634920634921,0.9909297052154195,0.9920634920634921
5,0.9897959183673469,0.9909297052154195,0.9920634920634921,0.9909297052154195,0.9920634920634921
6,0.9954648526077098,0.9943310657596371,0.9965986394557823,0.9954648526077098,0.9965986394557823
7,0.9875283446712018,0.9852607709750567,0.9863945578231292,0.9863945578231292,0.9875283446712018
8,0.9943310657596371,0.9909297052154195,0.9920634920634921,0.9924414210128495,0.9943310657596371
9,0.9897959183673469,0.9886621315192744,0.9897959183673469,0.9894179894179894,0.9897959183673469
10,0.9954648526077098,0.9954648526077098,0.9909297052154195,0.9939531368102797,0.9954648526077098
11,0.9852607709750567,0.9863945578231292,0.9829931972789115,0.9848828420256992,0.9863945578231292
12,0.9897959183673469,0.9897959183673469,0.9931972789115646,0.9909297052154195,0.9931972789115646
13,0.9954648526077098,0.9943310657596371,0.9965986394557823,0.9954648526077098,0.9965986394557823
14,0.9909297052154195,0.9909297052154195,0.9909297052154195,0.9909297052154195,0.9909297052154195
15,0.9886621315192744,0.9886621315192744,0.9909297052154195,0.9894179894179894,0.9909297052154195
16,0.9931972789115646,0.9931972789115646,0.9909297052154195,0.9924414210128495,0.9931972789115646
17,0.9863945578231292,0.9886621315192744,0.9886621315192744,0.9879062736205593,0.9886621315192744
18,0.9863945578231292,0.9897959183673469,0.9875283446712018,0.9879062736205594,0.9897959183673469
19,0.9909297052154195,0.9897959183673469,0.9875283446712018,0.9894179894179894,0.9909297052154195
20,0.9863945578231292,0.9875283446712018,0.9897959183673469,0.9879062736205593,0.9897959183673469
21,0.9829931972789115,0.9863945578231292,0.9852607709750567,0.9848828420256991,0.9863945578231292
22,0.9886621315192744,0.9931972789115646,0.9909297052154195,0.9909297052154195,0.9931972789115646
23,0.9931972789115646,0.9909297052154195,0.9931972789115646,0.9924414210128495,0.9931972789115646
24,0.9977324263038548,0.9965986394557823,0.9965986394557823,0.9969765684051398,0.9977324263038548
25,0.9863945578231292,0.9863945578231292,0.9863945578231292,0.9863945578231292,0.9863945578231292
26,0.9931972789115646,0.9920634920634921,0.9920634920634921,0.9924414210128495,0.9931972789115646
27,0.9886621315192744,0.9897959183673469,0.9897959183673469,0.9894179894179894,0.9897959183673469
28,0.9920634920634921,0.9920634920634921,0.9886621315192744,0.9909297052154195,0.9920634920634921
29,0.9875283446712018,0.9875283446712018,0.9886621315192744,0.9879062736205593,0.9886621315192744
30,0.9886621315192744,0.9875283446712018,0.9829931972789115,0.9863945578231292,0.9886621315192744
31,0.9909297052154195,0.9909297052154195,0.9909297052154195,0.9909297052154195,0.9909297052154195
