,abilities
kmeans_n_clusters_1,0.2361924
kmeans_n_clusters_2,0.43925148
kmeans_n_clusters_3,0.50040156
kmeans_n_clusters_4,0.4829698
kmeans_n_clusters_5,0.45688862
kmeans_n_clusters_6,0.435066
kmeans_n_clusters_7,0.42649177
kmeans_n_clusters_8,0.4149598
dbscan_eps_0_1_min_samples_2,0.49135628
dbscan_eps_0_2_min_samples_2,0.49980396
dbscan_eps_0_3_min_samples_2,0.50040156
dbscan_eps_0_4_min_samples_2,0.50040156
dbscan_eps_0_5_min_samples_2,0.43925148
dbscan_eps_0_6_min_samples_2,0.43925148
dbscan_eps_0_7_min_samples_2,0.43925148
dbscan_eps_0_8_min_samples_2,0.43925148
dbscan_eps_0_9_min_samples_2,0.43925148
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.2361924
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.36415994
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.42027384
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47652256
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.38398612
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.43838304
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.42788345
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.41966107
mean_shift_,0.50040156
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.2361924
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.43925148
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.50040156
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.48266602
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.4605528
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.43964148
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.45046654
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.47767544
optics_min_samples_2,0.34542593
average_model,0.42196065
optimal_clustering,0.50040156
