,abilities
kmeans_n_clusters_1,0.4432665
kmeans_n_clusters_2,0.5081432
kmeans_n_clusters_3,0.51139444
kmeans_n_clusters_4,0.5118237
kmeans_n_clusters_5,0.51204026
kmeans_n_clusters_6,0.5130297
kmeans_n_clusters_7,0.509876
kmeans_n_clusters_8,0.506105
dbscan_eps_0_1_min_samples_2,0.49889785
dbscan_eps_0_2_min_samples_2,0.51618
dbscan_eps_0_3_min_samples_2,0.51607925
dbscan_eps_0_4_min_samples_2,0.51607925
dbscan_eps_0_5_min_samples_2,0.51607925
dbscan_eps_0_6_min_samples_2,0.4432665
dbscan_eps_0_7_min_samples_2,0.4432665
dbscan_eps_0_8_min_samples_2,0.4432665
dbscan_eps_0_9_min_samples_2,0.4432665
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.4432665
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5107647
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5110353
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5118254
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5117125
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5123661
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5100923
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.507495
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.4432665
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.51607925
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51568854
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51417166
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5146214
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5147795
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.51155573
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.50675756
mean_shift_,0.5097902
optics_,0.48204854
random_model_n1,0.4656841
random_model_n2,0.46556574
random_model_n3,0.4655283
random_model_n4,0.46564966
random_model_n5,0.46559343
random_model_n6,0.46551603
random_model_n7,0.46557435
random_model_n8,0.46564564
random_model_n9,0.46593004
random_model_n10,0.46560758
random_model_n11,0.46547282
random_model_n12,0.46563783
random_model_n13,0.46608433
random_model_n14,0.46583286
random_model_n15,0.46569738
random_model_n16,0.46630782
random_model_n17,0.46565193
random_model_n18,0.4656658
random_model_n19,0.46538907
random_model_n20,0.46591827
random_model_n21,0.46576664
random_model_n22,0.46572644
random_model_n23,0.4655583
random_model_n24,0.46600023
random_model_n25,0.46544752
average_model,0.49495745
optimal_clustering,0.52111906
