,abilities
kmeans_n_clusters_1,0.354369
kmeans_n_clusters_2,0.46481627
kmeans_n_clusters_3,0.4708566
kmeans_n_clusters_4,0.47190487
kmeans_n_clusters_5,0.47213018
kmeans_n_clusters_6,0.47377723
kmeans_n_clusters_7,0.4677384
kmeans_n_clusters_8,0.46116096
dbscan_eps_0_1_min_samples_2,0.44826314
dbscan_eps_0_2_min_samples_2,0.47903123
dbscan_eps_0_3_min_samples_2,0.47883812
dbscan_eps_0_4_min_samples_2,0.47883812
dbscan_eps_0_5_min_samples_2,0.47883812
dbscan_eps_0_6_min_samples_2,0.354369
dbscan_eps_0_7_min_samples_2,0.354369
dbscan_eps_0_8_min_samples_2,0.354369
dbscan_eps_0_9_min_samples_2,0.354369
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.354369
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.47883812
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.4785574
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47582403
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4763253
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4766216
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.47099936
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.46282092
mean_shift_,0.46775368
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.354369
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.4694994
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.46986014
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.47159025
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.47110996
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.4724431
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.46829534
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.46353763
optics_min_samples_2,0.417262
average_model,0.44382697
optimal_clustering,0.48926425
