,abilities
kmeans_n_clusters_1,0.40081906
kmeans_n_clusters_2,0.4912194
kmeans_n_clusters_3,0.4990194
kmeans_n_clusters_4,0.49487215
kmeans_n_clusters_5,0.48677158
kmeans_n_clusters_6,0.48736468
kmeans_n_clusters_7,0.48224065
kmeans_n_clusters_8,0.4807463
dbscan_eps_0_1_min_samples_2,0.47988653
dbscan_eps_0_2_min_samples_2,0.50156903
dbscan_eps_0_3_min_samples_2,0.4011716
dbscan_eps_0_4_min_samples_2,0.4011716
dbscan_eps_0_5_min_samples_2,0.4011716
dbscan_eps_0_6_min_samples_2,0.40081906
dbscan_eps_0_7_min_samples_2,0.40081906
dbscan_eps_0_8_min_samples_2,0.40081906
dbscan_eps_0_9_min_samples_2,0.40081906
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.40081906
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.49309978
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5025181
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.48059303
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.4926393
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.48638093
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.48133746
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.47738862
mean_shift_,0.49223834
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.40081906
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.49335843
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.50032824
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.49320266
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.4862135
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.48728785
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48238203
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.47782364
optics_min_samples_2,0.42921087
average_model,0.46055147
optimal_clustering,0.50578046
