,abilities
kmeans_n_clusters_1,0.45286214
kmeans_n_clusters_2,0.51168704
kmeans_n_clusters_3,0.5146991
kmeans_n_clusters_4,0.5151512
kmeans_n_clusters_5,0.5152175
kmeans_n_clusters_6,0.5161546
kmeans_n_clusters_7,0.5128158
kmeans_n_clusters_8,0.51008713
dbscan_eps_0_1_min_samples_2,0.5031989
dbscan_eps_0_2_min_samples_2,0.51891595
dbscan_eps_0_3_min_samples_2,0.5188332
dbscan_eps_0_4_min_samples_2,0.5188332
dbscan_eps_0_5_min_samples_2,0.5188332
dbscan_eps_0_6_min_samples_2,0.45286214
dbscan_eps_0_7_min_samples_2,0.45286214
dbscan_eps_0_8_min_samples_2,0.45286214
dbscan_eps_0_9_min_samples_2,0.45286214
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.45286214
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.51404804
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5143094
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5149749
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.51482433
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.51547104
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5134029
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.51106596
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.45286214
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5188332
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51859754
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5171541
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.51737493
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.51757634
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5148007
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.51067305
mean_shift_,0.51317483
optics_,0.487981
random_model_n1,0.47344157
random_model_n2,0.47312963
random_model_n3,0.47299927
random_model_n4,0.4730092
random_model_n5,0.47337002
random_model_n6,0.47305256
random_model_n7,0.47357574
random_model_n8,0.47316512
random_model_n9,0.47304708
random_model_n10,0.4728528
random_model_n11,0.47326678
random_model_n12,0.47299388
random_model_n13,0.47299105
random_model_n14,0.47333384
random_model_n15,0.47303566
random_model_n16,0.4735458
random_model_n17,0.4729003
random_model_n18,0.4732827
random_model_n19,0.4732681
random_model_n20,0.47298443
random_model_n21,0.47299832
random_model_n22,0.47398064
random_model_n23,0.47295734
random_model_n24,0.47313395
random_model_n25,0.47300643
random_model_n26,0.4732532
random_model_n27,0.47279122
random_model_n28,0.47311088
random_model_n29,0.47285822
random_model_n30,0.47314334
random_model_n31,0.47320253
random_model_n32,0.47299907
average_model,0.49978313
optimal_clustering,0.5234013
