,abilities
kmeans_n_clusters_1,0.44673088
kmeans_n_clusters_2,0.5091984
kmeans_n_clusters_3,0.51238436
kmeans_n_clusters_4,0.5127187
kmeans_n_clusters_5,0.51294047
kmeans_n_clusters_6,0.51352775
kmeans_n_clusters_7,0.5111017
kmeans_n_clusters_8,0.50707054
dbscan_eps_0_1_min_samples_2,0.5001123
dbscan_eps_0_2_min_samples_2,0.5168895
dbscan_eps_0_3_min_samples_2,0.51679516
dbscan_eps_0_4_min_samples_2,0.51679516
dbscan_eps_0_5_min_samples_2,0.51679516
dbscan_eps_0_6_min_samples_2,0.44673088
dbscan_eps_0_7_min_samples_2,0.44673088
dbscan_eps_0_8_min_samples_2,0.44673088
dbscan_eps_0_9_min_samples_2,0.44673088
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.44673088
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.51173776
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5118101
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5125264
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5124816
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5128687
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5107497
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.50823146
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.44673088
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.51679516
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51644945
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5148351
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5151195
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5153666
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5124099
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.5079555
mean_shift_,0.5108063
optics_,0.48386574
random_model_n1,0.46770808
random_model_n2,0.46802026
random_model_n3,0.4680378
random_model_n4,0.4682057
random_model_n5,0.4681754
random_model_n6,0.46798798
random_model_n7,0.46794334
random_model_n8,0.46817207
random_model_n9,0.46833193
random_model_n10,0.46788394
random_model_n11,0.46803707
random_model_n12,0.46824923
random_model_n13,0.4680376
random_model_n14,0.46790132
random_model_n15,0.46812025
random_model_n16,0.46810699
random_model_n17,0.46795312
random_model_n18,0.4680279
random_model_n19,0.46882758
random_model_n20,0.4681741
random_model_n21,0.46810597
random_model_n22,0.4681143
random_model_n23,0.46793953
random_model_n24,0.46843064
random_model_n25,0.4678023
random_model_n26,0.4682109
random_model_n27,0.4680939
average_model,0.49646193
optimal_clustering,0.52154946
