,abilities,v_measure,mutual_info,adjusted_rand_score,calinski_harabasz,davies_bouldin,silhouette
optimal_clustering,0.514295220375061,,,,,,
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
kmeans_n_clusters_3,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
dbscan_eps_0_4_min_samples_2,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
dbscan_eps_0_3_min_samples_2,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
optics_min_samples_7_xi_0_1_min_cluster_size_0_2,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
mean_shift_,0.5142459273338318,1.0,1.0986082859934263,1.0,10762.036127594769,0.2796904556205802,0.8038554764504415
dbscan_eps_0_2_min_samples_2,0.5141236186027527,0.994464682768775,1.0986082859934267,0.9969969609244556,7290.920773831757,0.28163188757543567,0.7229153470933669
dbscan_eps_0_1_min_samples_2,0.512127697467804,0.9303456053071639,1.0775098826337037,0.957824262532863,2115.096296404599,1.3043935304132146,0.5477404141849316
kmeans_n_clusters_4,0.5118559002876282,0.9056653386816036,1.0986082859934263,0.8705953969526743,8431.826524689397,0.6383118289876708,0.6680966178325027
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5116962194442749,0.9054856814842587,1.0986082859934265,0.8702017851120957,8409.276098090388,0.646182866726982,0.6665161712103308
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5088205337524414,0.8926123522921937,1.075435897234375,0.8767457542754064,7281.390637784813,0.8514634819421971,0.6114262490498295
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5061279535293579,0.8321260326968374,1.0986082859934267,0.7426851908720217,7307.347790476087,0.8743607138587614,0.4800944036231885
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.50600665807724,0.8349211912782897,1.0986082859934263,0.7497308440845494,7402.856796436585,0.8917373178402217,0.5304136016804459
kmeans_n_clusters_5,0.5057867765426636,0.8274747635041244,1.0986082859934267,0.7290821017676467,7475.222676399249,0.9099172523163851,0.5226887786465811
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.4998021423816681,0.7675050535907743,1.0986082859934267,0.5956680212140346,7026.874130997097,1.0517060729970453,0.3316908231671572
kmeans_n_clusters_6,0.4990796744823456,0.7638269578364346,1.0986082859934263,0.5824192292493083,7369.592334741522,1.0538415766682683,0.3620660436549542
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.4976505637168884,0.7360336638143324,0.8917181780347598,0.6717297301413097,2137.213176736064,0.9003644861122156,0.33481769901934727
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.4969432055950165,0.7316845093878008,1.0986082859934267,0.5344702277461513,6452.1408479054135,1.0044228251224667,0.33188111994673697
kmeans_n_clusters_7,0.49599355459213257,0.7282662063275698,1.0986082859934263,0.5201029175358554,6834.2972843154475,1.000706888103034,0.36300950024694073
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49405592679977417,0.7001687728066267,1.0986082859934267,0.474997070324625,6215.737618721821,0.9647512639023921,0.31958991406915543
kmeans_n_clusters_8,0.4933466613292694,0.7025194013280848,1.0986082859934265,0.480041949906377,6503.047558256082,1.026091783347314,0.3483678441252556
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.4849781095981598,0.7187688905027395,0.7415579510248245,0.597748424684648,2526.4238250543444,0.6329949353601007,0.45490192441662114
average_model,0.48410698771476746,,,,,,
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.47986936569213867,0.6400635391848345,0.717317020855075,0.4517969329504785,1529.3965588797098,0.9367773289415959,0.23250128411662252
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
dbscan_eps_0_6_min_samples_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
kmeans_n_clusters_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
dbscan_eps_0_5_min_samples_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
dbscan_eps_0_7_min_samples_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
dbscan_eps_0_8_min_samples_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
dbscan_eps_0_9_min_samples_2,0.47604966163635254,0.7330043533591888,0.6355859693793828,0.5689744172121162,3509.3310606029772,0.26984271672787585,0.8022598836960962
