,abilities
kmeans_n_clusters_1,0.3933849
kmeans_n_clusters_2,0.46944103
kmeans_n_clusters_3,0.48142344
kmeans_n_clusters_4,0.4872106
kmeans_n_clusters_5,0.483849
kmeans_n_clusters_6,0.48323637
kmeans_n_clusters_7,0.48169178
kmeans_n_clusters_8,0.48146403
dbscan_eps_0_1_min_samples_2,0.4708749
dbscan_eps_0_2_min_samples_2,0.4790948
dbscan_eps_0_3_min_samples_2,0.47907585
dbscan_eps_0_4_min_samples_2,0.47907585
dbscan_eps_0_5_min_samples_2,0.47907585
dbscan_eps_0_6_min_samples_2,0.3933849
dbscan_eps_0_7_min_samples_2,0.3933849
dbscan_eps_0_8_min_samples_2,0.3933849
dbscan_eps_0_9_min_samples_2,0.3933849
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.3933849
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.47907585
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.4891128
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.4917903
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.49466383
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49362615
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.491767
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.49133474
mean_shift_,0.46632597
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.3933849
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.46989998
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.4793683
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.48751512
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.48638976
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.49206063
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.48815218
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.48783717
optics_min_samples_2,0.45818317
average_model,0.46345285
optimal_clustering,0.49991506
