,abilities
kmeans_n_clusters_1,0.4422817
kmeans_n_clusters_2,0.5070335
kmeans_n_clusters_3,0.5103333
kmeans_n_clusters_4,0.5106887
kmeans_n_clusters_5,0.5108754
kmeans_n_clusters_6,0.51186126
kmeans_n_clusters_7,0.5087959
kmeans_n_clusters_8,0.50500673
dbscan_eps_0_1_min_samples_2,0.49768445
dbscan_eps_0_2_min_samples_2,0.51504314
dbscan_eps_0_3_min_samples_2,0.51493984
dbscan_eps_0_4_min_samples_2,0.51493984
dbscan_eps_0_5_min_samples_2,0.51493984
dbscan_eps_0_6_min_samples_2,0.4422817
dbscan_eps_0_7_min_samples_2,0.4422817
dbscan_eps_0_8_min_samples_2,0.4422817
dbscan_eps_0_9_min_samples_2,0.4422817
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.4422817
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5096759
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5099348
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.5106402
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5105056
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5112127
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.5088466
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.5063546
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.4422817
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.51493984
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.51460814
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.513029
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.51343274
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.5136386
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.51042074
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.50561434
mean_shift_,0.5086937
optics_,0.48095447
random_model_n1,0.4643563
random_model_n2,0.4646103
random_model_n3,0.46440125
random_model_n4,0.46439976
random_model_n5,0.46445313
random_model_n6,0.46444157
random_model_n7,0.4646241
random_model_n8,0.46435055
random_model_n9,0.4644398
random_model_n10,0.4644609
random_model_n11,0.4643589
random_model_n12,0.46474314
random_model_n13,0.46449295
random_model_n14,0.46445516
random_model_n15,0.46465006
random_model_n16,0.46437564
random_model_n17,0.4645713
random_model_n18,0.46441844
random_model_n19,0.46445504
random_model_n20,0.46441132
random_model_n21,0.46446213
random_model_n22,0.46459684
random_model_n23,0.46464667
random_model_n24,0.4644957
average_model,0.49381638
optimal_clustering,0.5199639
