,abilities
kmeans_n_clusters_1,0.5200848
kmeans_n_clusters_2,0.53839445
kmeans_n_clusters_3,0.5360625
kmeans_n_clusters_4,0.53548473
kmeans_n_clusters_5,0.5125738
kmeans_n_clusters_6,0.51273215
kmeans_n_clusters_7,0.4985504
kmeans_n_clusters_8,0.49340236
dbscan_eps_0_1_min_samples_2,0.5200848
dbscan_eps_0_2_min_samples_2,0.5200848
dbscan_eps_0_3_min_samples_2,0.5200848
dbscan_eps_0_4_min_samples_2,0.5200848
dbscan_eps_0_5_min_samples_2,0.5200848
dbscan_eps_0_6_min_samples_2,0.5200848
dbscan_eps_0_7_min_samples_2,0.5200848
dbscan_eps_0_8_min_samples_2,0.5200848
dbscan_eps_0_9_min_samples_2,0.5200848
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.5200848
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.50786346
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.48532957
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.4913639
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.48151115
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.47577488
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.47516465
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.47893623
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.5200848
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5390194
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.53225607
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.51372015
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5059505
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.49815777
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.49354532
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.48688975
mean_shift_,0.5249837
optics_,0.520687
random_model_n1,0.49221942
random_model_n2,0.4922467
random_model_n3,0.49308184
random_model_n4,0.49221814
random_model_n5,0.49232432
random_model_n6,0.49224177
random_model_n7,0.492356
random_model_n8,0.49236548
random_model_n9,0.49231243
random_model_n10,0.49210143
random_model_n11,0.4923114
random_model_n12,0.49217945
random_model_n13,0.4920321
random_model_n14,0.49220693
random_model_n15,0.4922848
random_model_n16,0.49204433
random_model_n17,0.49225777
random_model_n18,0.49234104
random_model_n19,0.49235275
random_model_n20,0.4920991
random_model_n21,0.49250874
random_model_n22,0.49254113
random_model_n23,0.4923653
random_model_n24,0.4919996
random_model_n25,0.49287817
random_model_n26,0.49221966
random_model_n27,0.49220082
random_model_n28,0.49214953
random_model_n29,0.49224207
random_model_n30,0.49227026
random_model_n31,0.49220034
random_model_n32,0.4926036
random_model_n33,0.4922029
random_model_n34,0.49287695
average_model,0.51079136
optimal_clustering,0.5405235
