,abilities
kmeans_n_clusters_1,0.4195978
kmeans_n_clusters_2,0.49875513
kmeans_n_clusters_3,0.50286967
kmeans_n_clusters_4,0.50357735
kmeans_n_clusters_5,0.5037241
kmeans_n_clusters_6,0.5057753
kmeans_n_clusters_7,0.50127566
kmeans_n_clusters_8,0.49614334
dbscan_eps_0_1_min_samples_2,0.48699912
dbscan_eps_0_2_min_samples_2,0.50854665
dbscan_eps_0_3_min_samples_2,0.5084273
dbscan_eps_0_4_min_samples_2,0.5084273
dbscan_eps_0_5_min_samples_2,0.5084273
dbscan_eps_0_6_min_samples_2,0.4195978
dbscan_eps_0_7_min_samples_2,0.4195978
dbscan_eps_0_8_min_samples_2,0.4195978
dbscan_eps_0_9_min_samples_2,0.4195978
kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,0.4195978
kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,0.5019909
kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,0.5019658
kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,0.50283897
kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,0.5030306
kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,0.5032261
kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,0.50063413
kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,0.49706846
spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,0.4195978
spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,0.5084273
spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,0.5080169
spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,0.5059621
spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,0.5063682
spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,0.50673926
spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,0.5027915
spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,0.4970614
mean_shift_,0.50078946
optics_,0.46626016
random_model_n1,0.4460626
random_model_n2,0.44637138
random_model_n3,0.4461696
random_model_n4,0.4463426
random_model_n5,0.44642246
random_model_n6,0.4466057
random_model_n7,0.4463061
random_model_n8,0.4464939
random_model_n9,0.4465924
random_model_n10,0.44668913
random_model_n11,0.44665286
random_model_n12,0.4464327
random_model_n13,0.44660252
random_model_n14,0.44683903
average_model,0.48236552
optimal_clustering,0.5148024
